description,count,dark_pattern_percent %
newsletter,22,19.130434782608695
discount,21,18.26086956521739
membership,18,15.652173913043478
banner,16,13.91304347826087
unsubscribe,11,9.565217391304348
reviews,10,8.695652173913043
checkout,8,6.956521739130435
details,3,2.608695652173913
featured,2,1.7391304347826086
cart,2,1.7391304347826086
login,2,1.7391304347826086
search,0,0.0
tracking,0,0.0
